County,State,Pollutant,Trend Statistic,total_trend_sites,avg_last5
Lawrence County,KY,PM2.5,Weighted Annual Mean,1.0,7.159999999999999
Lawrence County,KY,SO2,99th Percentile,2.0,6.4
Lawrence County,OH,NO2,98th Percentile,1.0,28.0
Lawrence County,OH,NO2,Annual Mean,1.0,5.2
Lawrence County,OH,O3,4th Max,3.0,0.05820000000000001
Lawrence County,OH,PM10,2nd Max,1.0,48.2
Lawrence County,OH,PM2.5,98th Percentile,1.0,18.0
Lawrence County,OH,PM2.5,Weighted Annual Mean,1.0,7.159999999999999
Lawrence County,OH,SO2,99th Percentile,2.0,6.4
Lawrence County,PA,NO2,98th Percentile,2.0,34.8
Lawrence County,PA,NO2,Annual Mean,2.0,7.2
Lawrence County,PA,O3,4th Max,10.0,0.063
Lawrence County,PA,PM10,2nd Max,5.0,51.239999999999995
Lawrence County,PA,PM2.5,98th Percentile,10.0,21.8
Lawrence County,PA,PM2.5,Weighted Annual Mean,10.0,8.6
Lawrence County,PA,SO2,99th Percentile,5.0,19.8
Le Sueur County,MN,CO,2nd Max,3.0,1.0399999999999998
Le Sueur County,MN,NO2,98th Percentile,1.0,23.6
Le Sueur County,MN,NO2,Annual Mean,2.0,5.8
Le Sueur County,MN,O3,4th Max,3.0,0.06239999999999999
Le Sueur County,MN,PM10,2nd Max,1.0,76.8
Le Sueur County,MN,PM2.5,98th Percentile,6.0,24.8
Le Sueur County,MN,PM2.5,Weighted Annual Mean,6.0,7.88
Le Sueur County,MN,SO2,99th Percentile,4.0,6.8
Leavenworth County,KS,CO,2nd Max,1.0,0.9400000000000001
Leavenworth County,KS,NO2,Annual Mean,2.0,9.6
Leavenworth County,KS,O3,4th Max,5.0,0.0664
Leavenworth County,KS,PM2.5,98th Percentile,3.0,19.2
Leavenworth County,KS,PM2.5,Weighted Annual Mean,3.0,7.260000000000001
Leavenworth County,KS,SO2,99th Percentile,2.0,6.8
Lee County,FL,O3,4th Max,1.0,0.06
Lee County,FL,PM10,2nd Max,1.0,58.6
Lee County,FL,PM2.5,98th Percentile,1.0,15.6
Lee County,FL,PM2.5,Weighted Annual Mean,1.0,6.42
Lee County,GA,PM2.5,98th Percentile,1.0,26.6
Lee County,GA,PM2.5,Weighted Annual Mean,1.0,9.32
Lee County,MS,O3,4th Max,1.0,0.060399999999999995
Leelanau County,MI,O3,4th Max,1.0,0.06620000000000001
Lehigh County,PA,NO2,Annual Mean,1.0,7.8
Lehigh County,PA,O3,4th Max,2.0,0.06420000000000001
Lehigh County,PA,PM10,2nd Max,1.0,47.8
Lehigh County,PA,PM2.5,98th Percentile,1.0,24.4
Lehigh County,PA,PM2.5,Weighted Annual Mean,1.0,8.12
Lenawee County,MI,O3,4th Max,1.0,0.0656
Lenoir County,NC,O3,4th Max,1.0,0.0624
Leon County,FL,O3,4th Max,2.0,0.0576
Leon County,FL,PM2.5,98th Percentile,1.0,17.0
Leon County,FL,PM2.5,Weighted Annual Mean,1.0,7.5
Levy County,FL,O3,4th Max,1.0,0.0588
Lexington County,SC,O3,4th Max,3.0,0.059
Lexington County,SC,PM2.5,98th Percentile,2.0,17.4
Lexington County,SC,PM2.5,Weighted Annual Mean,2.0,7.540000000000001
Liberty County,TX,CO,2nd Max,1.0,1.16
Liberty County,TX,NO2,98th Percentile,8.0,37.0
Liberty County,TX,NO2,Annual Mean,10.0,7.2
Liberty County,TX,O3,4th Max,15.0,0.07260000000000001
Liberty County,TX,PM10,2nd Max,4.0,64.92
Liberty County,TX,PM2.5,98th Percentile,3.0,22.8
Liberty County,TX,PM2.5,Weighted Annual Mean,3.0,10.26
Liberty County,TX,SO2,99th Percentile,2.0,10.4
Licking County,OH,O3,4th Max,5.0,0.0636
Licking County,OH,PM2.5,98th Percentile,1.0,21.8
Licking County,OH,PM2.5,Weighted Annual Mean,1.0,8.76
Limestone County,AL,O3,4th Max,1.0,0.062
Limestone County,AL,PM10,2nd Max,4.0,33.779999999999994
Limestone County,AL,PM2.5,98th Percentile,1.0,16.6
Limestone County,AL,PM2.5,Weighted Annual Mean,1.0,7.540000000000001
Lincoln County,GA,O3,4th Max,3.0,0.05939999999999999
Lincoln County,GA,PM2.5,98th Percentile,2.0,20.8
Lincoln County,GA,PM2.5,Weighted Annual Mean,2.0,8.7
Lincoln County,MO,NO2,98th Percentile,1.0,38.8
Lincoln County,MO,NO2,Annual Mean,1.0,8.8
Lincoln County,MO,O3,4th Max,9.0,0.069
Lincoln County,MO,PM2.5,98th Percentile,2.0,21.0
Lincoln County,MO,PM2.5,Weighted Annual Mean,2.0,8.4
Lincoln County,MO,Pb,Max 3-Month Average,2.0,0.06
Lincoln County,MO,SO2,99th Percentile,3.0,8.2
Lincoln County,NC,NO2,98th Percentile,1.0,35.2
Lincoln County,NC,NO2,Annual Mean,1.0,6.6
Lincoln County,NC,O3,4th Max,6.0,0.0644
Lincoln County,NC,PM2.5,98th Percentile,1.0,18.8
Lincoln County,NC,PM2.5,Weighted Annual Mean,1.0,8.080000000000002
Lincoln County,OK,O3,4th Max,4.0,0.068
Lincoln County,OK,PM10,2nd Max,1.0,38.8
Lincoln County,OK,PM2.5,98th Percentile,2.0,19.2
Lincoln County,OK,PM2.5,Weighted Annual Mean,2.0,8.36
Linn County,IA,O3,4th Max,1.0,0.064
Linn County,KS,CO,2nd Max,1.0,0.9400000000000001
Linn County,KS,NO2,Annual Mean,2.0,9.6
Linn County,KS,O3,4th Max,5.0,0.0664
Linn County,KS,PM2.5,98th Percentile,3.0,19.2
Linn County,KS,PM2.5,Weighted Annual Mean,3.0,7.260000000000001
Linn County,KS,SO2,99th Percentile,2.0,6.8
Livingston County,KY,NO2,98th Percentile,1.0,30.0
Livingston County,KY,NO2,Annual Mean,1.0,4.6
Livingston County,KY,O3,4th Max,2.0,0.06520000000000001
Livingston County,KY,SO2,99th Percentile,1.0,10.8
Livingston County,MI,CO,2nd Max,1.0,1.3
Livingston County,MI,O3,4th Max,6.0,0.06960000000000001
Livingston County,MI,PM10,2nd Max,3.0,64.58
Livingston County,MI,PM2.5,98th Percentile,7.0,24.0
Livingston County,MI,PM2.5,Weighted Annual Mean,7.0,8.74
Livingston County,MI,Pb,Max 3-Month Average,1.0,0.012
Livingston County,MI,SO2,99th Percentile,1.0,43.8
Livingston County,NY,O3,4th Max,2.0,0.0632
Livingston Parish,LA,CO,2nd Max,1.0,0.86
Livingston Parish,LA,NO2,98th Percentile,5.0,24.2
Livingston Parish,LA,NO2,Annual Mean,5.0,4.2
Livingston Parish,LA,O3,4th Max,9.0,0.0664
Livingston Parish,LA,PM2.5,98th Percentile,3.0,19.0
Livingston Parish,LA,PM2.5,Weighted Annual Mean,3.0,8.58
Livingston Parish,LA,SO2,99th Percentile,2.0,16.4
Logan County,OK,O3,4th Max,4.0,0.068
Logan County,OK,PM10,2nd Max,1.0,38.8
Logan County,OK,PM2.5,98th Percentile,2.0,19.2
Logan County,OK,PM2.5,Weighted Annual Mean,2.0,8.36
Lonoke County,AR,NO2,98th Percentile,1.0,33.0
Lonoke County,AR,NO2,Annual Mean,1.0,6.4
Lonoke County,AR,O3,4th Max,2.0,0.0634
Lonoke County,AR,PM10,2nd Max,1.0,35.2
Lonoke County,AR,PM2.5,98th Percentile,1.0,20.2
Lonoke County,AR,PM2.5,Weighted Annual Mean,1.0,9.16
Los Angeles County,CA,CO,2nd Max,11.0,1.1600000000000001
Los Angeles County,CA,NO2,98th Percentile,7.0,45.2
Los Angeles County,CA,NO2,Annual Mean,11.0,12.0
Los Angeles County,CA,O3,4th Max,13.0,0.082
Los Angeles County,CA,PM10,2nd Max,6.0,61.73999999999999
Los Angeles County,CA,PM2.5,98th Percentile,7.0,29.8
Los Angeles County,CA,PM2.5,Weighted Annual Mean,7.0,10.459999999999999
Loudon County,TN,O3,4th Max,5.0,0.0606
Loudoun County,VA,CO,2nd Max,1.0,1.16
Loudoun County,VA,NO2,98th Percentile,4.0,35.0
Loudoun County,VA,NO2,Annual Mean,5.0,8.0
Loudoun County,VA,O3,4th Max,13.0,0.0638
Loudoun County,VA,PM2.5,98th Percentile,5.0,19.2
Loudoun County,VA,PM2.5,Weighted Annual Mean,5.0,7.24
Lower Connecticut River Valley Planning Region,CT,NO2,98th Percentile,1.0,37.8
Lower Connecticut River Valley Planning Region,CT,NO2,Annual Mean,1.0,7.6
Lower Connecticut River Valley Planning Region,CT,O3,4th Max,3.0,0.0708
Lower Connecticut River Valley Planning Region,CT,PM2.5,98th Percentile,1.0,17.8
Lower Connecticut River Valley Planning Region,CT,PM2.5,Weighted Annual Mean,1.0,6.56
Lowndes County,AL,O3,4th Max,2.0,0.058199999999999995
Lowndes County,GA,PM2.5,98th Percentile,1.0,19.2
Lowndes County,GA,PM2.5,Weighted Annual Mean,1.0,8.4
Loíza Municipio,PR,PM10,2nd Max,1.0,100.6
Loíza Municipio,PR,PM2.5,98th Percentile,1.0,20.2
Loíza Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
Lucas County,OH,O3,4th Max,4.0,0.06760000000000001
Lucas County,OH,PM2.5,98th Percentile,2.0,21.8
Lucas County,OH,PM2.5,Weighted Annual Mean,2.0,8.040000000000001
Lumpkin County,GA,O3,4th Max,9.0,0.066
Lumpkin County,GA,PM2.5,98th Percentile,4.0,20.2
Lumpkin County,GA,PM2.5,Weighted Annual Mean,4.0,8.66
Lumpkin County,GA,SO2,99th Percentile,1.0,4.2
Luquillo Municipio,PR,PM10,2nd Max,1.0,100.6
Luquillo Municipio,PR,PM2.5,98th Percentile,1.0,20.2
Luquillo Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
Luzerne County,PA,CO,2nd Max,1.0,0.8800000000000001
Luzerne County,PA,NO2,98th Percentile,1.0,44.4
Luzerne County,PA,NO2,Annual Mean,1.0,9.2
Luzerne County,PA,O3,4th Max,3.0,0.059
Luzerne County,PA,PM10,2nd Max,1.0,34.2
Luzerne County,PA,PM2.5,98th Percentile,1.0,18.4
Luzerne County,PA,PM2.5,Weighted Annual Mean,1.0,6.859999999999999
Lycoming County,PA,O3,4th Max,1.0,0.059399999999999994
Lyon County,NV,CO,2nd Max,1.0,1.7399999999999998
Lyon County,NV,O3,4th Max,6.0,0.068
Macomb County,MI,CO,2nd Max,1.0,1.3
Macomb County,MI,O3,4th Max,6.0,0.06960000000000001
Macomb County,MI,PM10,2nd Max,3.0,64.58
Macomb County,MI,PM2.5,98th Percentile,7.0,24.0
Macomb County,MI,PM2.5,Weighted Annual Mean,7.0,8.74
Macomb County,MI,Pb,Max 3-Month Average,1.0,0.012
Macomb County,MI,SO2,99th Percentile,1.0,43.8
Macon County,IL,O3,4th Max,1.0,0.06720000000000001
Macon County,IL,SO2,99th Percentile,1.0,19.8
Macon County,TN,NO2,Annual Mean,1.0,6.6
Macon County,TN,O3,4th Max,5.0,0.0644
Macoupin County,IL,NO2,98th Percentile,1.0,38.8
Macoupin County,IL,NO2,Annual Mean,1.0,8.8
Macoupin County,IL,O3,4th Max,9.0,0.069
Macoupin County,IL,PM2.5,98th Percentile,2.0,21.0
Macoupin County,IL,PM2.5,Weighted Annual Mean,2.0,8.4
Macoupin County,IL,Pb,Max 3-Month Average,2.0,0.06
Macoupin County,IL,SO2,99th Percentile,3.0,8.2
Madera County,CA,CO,2nd Max,1.0,1.28
Madera County,CA,NO2,98th Percentile,1.0,44.4
Madera County,CA,NO2,Annual Mean,4.0,8.4
Madera County,CA,O3,4th Max,5.0,0.0814
Madera County,CA,PM10,2nd Max,2.0,128.1
Madera County,CA,PM2.5,98th Percentile,2.0,48.4
Madera County,CA,PM2.5,Weighted Annual Mean,2.0,13.26
Madison County,AL,O3,4th Max,1.0,0.062
Madison County,AL,PM10,2nd Max,4.0,33.779999999999994
Madison County,AL,PM2.5,98th Percentile,1.0,16.6
Madison County,AL,PM2.5,Weighted Annual Mean,1.0,7.540000000000001
Madison County,GA,O3,4th Max,1.0,0.062
Madison County,IA,PM2.5,98th Percentile,2.0,19.0
Madison County,IA,PM2.5,Weighted Annual Mean,2.0,7.5200000000000005
Madison County,IL,NO2,98th Percentile,1.0,38.8
Madison County,IL,NO2,Annual Mean,1.0,8.8
Madison County,IL,O3,4th Max,9.0,0.069
Madison County,IL,PM2.5,98th Percentile,2.0,21.0
Madison County,IL,PM2.5,Weighted Annual Mean,2.0,8.4
Madison County,IL,Pb,Max 3-Month Average,2.0,0.06
Madison County,IL,SO2,99th Percentile,3.0,8.2
Madison County,IN,O3,4th Max,5.0,0.0666
Madison County,IN,PM10,2nd Max,1.0,71.6
Madison County,IN,PM2.5,98th Percentile,3.0,27.2
Madison County,IN,PM2.5,Weighted Annual Mean,3.0,10.66
Madison County,IN,SO2,99th Percentile,1.0,6.2
Madison County,NC,O3,4th Max,4.0,0.0616
Madison County,NC,PM2.5,98th Percentile,1.0,15.8
Madison County,NC,PM2.5,Weighted Annual Mean,1.0,5.9799999999999995
Madison County,NY,O3,4th Max,1.0,0.0618
Madison County,NY,PM2.5,98th Percentile,1.0,17.6
Madison County,NY,PM2.5,Weighted Annual Mean,1.0,6.16
Madison County,NY,SO2,99th Percentile,1.0,1.0
Madison County,OH,O3,4th Max,5.0,0.0636
Madison County,OH,PM2.5,98th Percentile,1.0,21.8
Madison County,OH,PM2.5,Weighted Annual Mean,1.0,8.76
Mahoning County,OH,O3,4th Max,4.0,0.0654
Mahoning County,OH,PM10,2nd Max,1.0,32.5
Mahoning County,OH,PM2.5,98th Percentile,1.0,21.0
Mahoning County,OH,PM2.5,Weighted Annual Mean,1.0,7.0200000000000005
Manassas Park city,VA,CO,2nd Max,1.0,1.16
Manassas Park city,VA,NO2,98th Percentile,4.0,35.0
Manassas Park city,VA,NO2,Annual Mean,5.0,8.0
Manassas Park city,VA,O3,4th Max,13.0,0.0638
Manassas Park city,VA,PM2.5,98th Percentile,5.0,19.2
Manassas Park city,VA,PM2.5,Weighted Annual Mean,5.0,7.24
Manassas city,VA,CO,2nd Max,1.0,1.16
Manassas city,VA,NO2,98th Percentile,4.0,35.0
Manassas city,VA,NO2,Annual Mean,5.0,8.0
Manassas city,VA,O3,4th Max,13.0,0.0638
Manassas city,VA,PM2.5,98th Percentile,5.0,19.2
Manassas city,VA,PM2.5,Weighted Annual Mean,5.0,7.24
Manatee County,FL,O3,4th Max,5.0,0.060399999999999995
Manatee County,FL,PM10,2nd Max,1.0,53.2
Manatee County,FL,PM2.5,98th Percentile,1.0,16.0
Manatee County,FL,PM2.5,Weighted Annual Mean,1.0,6.76
Manatí Municipio,PR,PM10,2nd Max,1.0,100.6
Manatí Municipio,PR,PM2.5,98th Percentile,1.0,20.2
Manatí Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
Manitowoc County,WI,O3,4th Max,1.0,0.07100000000000001
Marathon County,WI,O3,4th Max,1.0,0.0612
Maricopa County,AZ,CO,2nd Max,6.0,1.6000000000000003
Maricopa County,AZ,NO2,98th Percentile,2.0,51.0
Maricopa County,AZ,NO2,Annual Mean,2.0,14.6
Maricopa County,AZ,O3,4th Max,21.0,0.07460000000000001
Maricopa County,AZ,PM10,2nd Max,11.0,110.75999999999999
Maricopa County,AZ,PM2.5,98th Percentile,4.0,19.2
Maricopa County,AZ,PM2.5,Weighted Annual Mean,4.0,7.540000000000001
Maricopa County,AZ,SO2,99th Percentile,1.0,5.2
Marin County,CA,CO,2nd Max,5.0,1.04
Marin County,CA,NO2,98th Percentile,6.0,33.2
Marin County,CA,NO2,Annual Mean,6.0,6.8
Marin County,CA,O3,4th Max,8.0,0.0588
Marin County,CA,PM10,2nd Max,3.0,32.42
Marin County,CA,PM2.5,98th Percentile,4.0,26.2
Marin County,CA,PM2.5,Weighted Annual Mean,4.0,7.74
Marin County,CA,SO2,99th Percentile,4.0,8.2
Marion County,FL,O3,4th Max,2.0,0.0606
Marion County,GA,O3,4th Max,1.0,0.0596
Marion County,IN,O3,4th Max,5.0,0.0666
Marion County,IN,PM10,2nd Max,1.0,71.6
Marion County,IN,PM2.5,98th Percentile,3.0,27.2
Marion County,IN,PM2.5,Weighted Annual Mean,3.0,10.66
Marion County,IN,SO2,99th Percentile,1.0,6.2
Marion County,OR,O3,4th Max,1.0,0.0616
Marion County,TN,O3,4th Max,2.0,0.0638
Marion County,TN,PM2.5,98th Percentile,2.0,21.4
Marion County,TN,PM2.5,Weighted Annual Mean,2.0,8.24
Marion County,WV,PM2.5,98th Percentile,1.0,17.4
Marion County,WV,PM2.5,Weighted Annual Mean,1.0,7.540000000000001
Marshall County,IL,O3,4th Max,2.0,0.067
Marshall County,MS,O3,4th Max,4.0,0.0674
Marshall County,WV,O3,4th Max,1.0,0.062
Marshall County,WV,PM2.5,98th Percentile,1.0,24.0
Marshall County,WV,PM2.5,Weighted Annual Mean,1.0,9.559999999999999
Marshall County,WV,SO2,99th Percentile,1.0,8.6
Mason County,MI,O3,4th Max,1.0,0.0656
Massac County,IL,NO2,98th Percentile,1.0,30.0
Massac County,IL,NO2,Annual Mean,1.0,4.6
Massac County,IL,O3,4th Max,2.0,0.06520000000000001
Massac County,IL,SO2,99th Percentile,1.0,10.8
Matanuska-Susitna Borough,AK,CO,2nd Max,1.0,2.48
Matanuska-Susitna Borough,AK,PM2.5,98th Percentile,2.0,23.4
Matanuska-Susitna Borough,AK,PM2.5,Weighted Annual Mean,2.0,5.339999999999999
Mathews County,VA,O3,4th Max,2.0,0.056999999999999995
Mathews County,VA,PM10,2nd Max,1.0,21.0
Mathews County,VA,PM2.5,98th Percentile,2.0,16.4
Mathews County,VA,PM2.5,Weighted Annual Mean,2.0,6.92
Maui County,HI,PM2.5,98th Percentile,1.0,8.4
Maui County,HI,PM2.5,Weighted Annual Mean,1.0,2.9
Maunabo Municipio,PR,PM10,2nd Max,1.0,100.6
Maunabo Municipio,PR,PM2.5,98th Percentile,1.0,20.2
Maunabo Municipio,PR,PM2.5,Weighted Annual Mean,1.0,7.58
Maury County,TN,NO2,Annual Mean,1.0,6.6
Maury County,TN,O3,4th Max,5.0,0.0644
McClain County,OK,O3,4th Max,4.0,0.068
McClain County,OK,PM10,2nd Max,1.0,38.8
McClain County,OK,PM2.5,98th Percentile,2.0,19.2
McClain County,OK,PM2.5,Weighted Annual Mean,2.0,8.36
McCracken County,KY,NO2,98th Percentile,1.0,30.0
McCracken County,KY,NO2,Annual Mean,1.0,4.6
McCracken County,KY,O3,4th Max,2.0,0.06520000000000001
McCracken County,KY,SO2,99th Percentile,1.0,10.8
McDuffie County,GA,O3,4th Max,3.0,0.05939999999999999
McDuffie County,GA,PM2.5,98th Percentile,2.0,20.8
McDuffie County,GA,PM2.5,Weighted Annual Mean,2.0,8.7
McHenry County,IL,NO2,98th Percentile,2.0,54.2
McHenry County,IL,NO2,Annual Mean,3.0,14.199999999999998
McHenry County,IL,O3,4th Max,18.0,0.0728
McHenry County,IL,PM10,2nd Max,5.0,84.75999999999999
McHenry County,IL,PM2.5,98th Percentile,5.0,21.4
McHenry County,IL,PM2.5,Weighted Annual Mean,5.0,8.6
McHenry County,IL,Pb,Max 3-Month Average,1.0,0.018
McHenry County,IL,SO2,99th Percentile,3.0,17.8
McIntosh County,GA,O3,4th Max,1.0,0.055999999999999994
McIntosh County,GA,PM2.5,98th Percentile,1.0,18.2
McIntosh County,GA,PM2.5,Weighted Annual Mean,1.0,7.9
McLean County,IL,O3,4th Max,1.0,0.06820000000000001
McLean County,KY,NO2,98th Percentile,1.0,28.4
McLean County,KY,NO2,Annual Mean,1.0,4.6
McLean County,KY,O3,4th Max,2.0,0.0664
McLean County,KY,SO2,99th Percentile,1.0,13.8
Meade County,KY,O3,4th Max,5.0,0.0654
Meade County,KY,SO2,99th Percentile,3.0,8.0
Mecklenburg County,NC,NO2,98th Percentile,1.0,35.2
Mecklenburg County,NC,NO2,Annual Mean,1.0,6.6
Mecklenburg County,NC,O3,4th Max,6.0,0.0644
Mecklenburg County,NC,PM2.5,98th Percentile,1.0,18.8
Mecklenburg County,NC,PM2.5,Weighted Annual Mean,1.0,8.080000000000002
Medina County,TX,NO2,98th Percentile,1.0,34.2
Medina County,TX,NO2,Annual Mean,1.0,4.4
Medina County,TX,O3,4th Max,3.0,0.07160000000000001
Medina County,TX,PM10,2nd Max,1.0,62.2
Mendocino County,CA,O3,4th Max,1.0,0.05399999999999999
Mendocino County,CA,PM2.5,98th Percentile,1.0,30.8
Mendocino County,CA,PM2.5,Weighted Annual Mean,1.0,8.34
Merced County,CA,NO2,Annual Mean,1.0,6.6
Merced County,CA,O3,4th Max,1.0,0.0754
Merced County,CA,PM10,2nd Max,1.0,88.0
Merced County,CA,PM2.5,98th Percentile,1.0,42.2
Merced County,CA,PM2.5,Weighted Annual Mean,1.0,11.260000000000002
Mercer County,IL,O3,4th Max,2.0,0.0658
Mercer County,IL,PM10,2nd Max,1.0,41.0
Mercer County,IL,PM2.5,98th Percentile,1.0,21.0
Mercer County,IL,PM2.5,Weighted Annual Mean,1.0,8.24
Mercer County,IL,SO2,99th Percentile,1.0,4.0
Mercer County,NJ,O3,4th Max,2.0,0.0684
Mercer County,NJ,PM2.5,98th Percentile,1.0,20.0
Mercer County,NJ,PM2.5,Weighted Annual Mean,1.0,8.040000000000001
Meriwether County,GA,O3,4th Max,9.0,0.066
Meriwether County,GA,PM2.5,98th Percentile,4.0,20.2
Meriwether County,GA,PM2.5,Weighted Annual Mean,4.0,8.66
Meriwether County,GA,SO2,99th Percentile,1.0,4.2
Merrimack County,NH,O3,4th Max,1.0,0.0578
Mesa County,CO,PM10,2nd Max,1.0,49.6
Miami County,KS,CO,2nd Max,1.0,0.9400000000000001
Miami County,KS,NO2,Annual Mean,2.0,9.6
Miami County,KS,O3,4th Max,5.0,0.0664
Miami County,KS,PM2.5,98th Percentile,3.0,19.2
Miami County,KS,PM2.5,Weighted Annual Mean,3.0,7.260000000000001
Miami County,KS,SO2,99th Percentile,2.0,6.8
Miami-Dade County,FL,CO,2nd Max,1.0,1.08
Miami-Dade County,FL,NO2,98th Percentile,2.0,38.0
Miami-Dade County,FL,NO2,Annual Mean,3.0,4.8
Miami-Dade County,FL,O3,4th Max,4.0,0.05940000000000001
Miami-Dade County,FL,PM2.5,98th Percentile,3.0,17.0
Miami-Dade County,FL,PM2.5,Weighted Annual Mean,3.0,6.540000000000002
Miami-Dade County,FL,SO2,99th Percentile,1.0,2.0
Middlesex County,MA,CO,2nd Max,1.0,1.0
Middlesex County,MA,NO2,98th Percentile,2.0,44.8
Middlesex County,MA,NO2,Annual Mean,2.0,10.6
Middlesex County,MA,O3,4th Max,4.0,0.0618
Middlesex County,MA,PM2.5,98th Percentile,5.0,15.2
Middlesex County,MA,PM2.5,Weighted Annual Mean,5.0,5.960000000000001
Middlesex County,MA,SO2,99th Percentile,2.0,2.0
Middlesex County,NJ,CO,2nd Max,4.0,1.5399999999999998
Middlesex County,NJ,NO2,98th Percentile,3.0,47.0
Middlesex County,NJ,NO2,Annual Mean,4.0,12.8
Middlesex County,NJ,O3,4th Max,16.0,0.0668
Middlesex County,NJ,PM10,2nd Max,1.0,33.4
Middlesex County,NJ,PM2.5,98th Percentile,10.0,20.6
Middlesex County,NJ,PM2.5,Weighted Annual Mean,10.0,7.44
Middlesex County,NJ,SO2,99th Percentile,7.0,4.8
Mille Lacs County,MN,CO,2nd Max,3.0,1.0399999999999998
Mille Lacs County,MN,NO2,98th Percentile,1.0,23.6
Mille Lacs County,MN,NO2,Annual Mean,2.0,5.8
Mille Lacs County,MN,O3,4th Max,3.0,0.06239999999999999
Mille Lacs County,MN,PM10,2nd Max,1.0,76.8
Mille Lacs County,MN,PM2.5,98th Percentile,6.0,24.8
Mille Lacs County,MN,PM2.5,Weighted Annual Mean,6.0,7.88
Mille Lacs County,MN,SO2,99th Percentile,4.0,6.8
Mills County,IA,PM10,2nd Max,3.0,59.46
Mills County,IA,PM2.5,98th Percentile,5.0,20.6
Mills County,IA,PM2.5,Weighted Annual Mean,5.0,7.4799999999999995
Mills County,IA,SO2,99th Percentile,1.0,41.0
Milwaukee County,WI,O3,4th Max,4.0,0.07160000000000001
Milwaukee County,WI,PM2.5,98th Percentile,2.0,25.0
Milwaukee County,WI,PM2.5,Weighted Annual Mean,2.0,8.52
Missaukee County,MI,O3,4th Max,2.0,0.0664
Mobile County,AL,O3,4th Max,2.0,0.05800000000000001
Moffat County,CO,PM10,2nd Max,1.0,63.2
Monmouth County,NJ,CO,2nd Max,4.0,1.5399999999999998
Monmouth County,NJ,NO2,98th Percentile,3.0,47.0
Monmouth County,NJ,NO2,Annual Mean,4.0,12.8
Monmouth County,NJ,O3,4th Max,16.0,0.0668
Monmouth County,NJ,PM10,2nd Max,1.0,33.4
Monmouth County,NJ,PM2.5,98th Percentile,10.0,20.6
Monmouth County,NJ,PM2.5,Weighted Annual Mean,10.0,7.44
Monmouth County,NJ,SO2,99th Percentile,7.0,4.8
Monongalia County,WV,O3,4th Max,1.0,0.0612
Monongalia County,WV,PM2.5,98th Percentile,1.0,18.4
Monongalia County,WV,PM2.5,Weighted Annual Mean,1.0,7.280000000000001
Monongalia County,WV,SO2,99th Percentile,1.0,11.0
Monroe County,GA,O3,4th Max,1.0,0.0616
Monroe County,GA,PM2.5,98th Percentile,2.0,20.6
Monroe County,GA,PM2.5,Weighted Annual Mean,2.0,8.580000000000002
Monroe County,IL,NO2,98th Percentile,1.0,38.8
Monroe County,IL,NO2,Annual Mean,1.0,8.8
Monroe County,IL,O3,4th Max,9.0,0.069
Monroe County,IL,PM2.5,98th Percentile,2.0,21.0
Monroe County,IL,PM2.5,Weighted Annual Mean,2.0,8.4
Monroe County,IL,Pb,Max 3-Month Average,2.0,0.06
Monroe County,IL,SO2,99th Percentile,3.0,8.2
Monroe County,IN,O3,4th Max,1.0,0.0664
Monroe County,NY,O3,4th Max,2.0,0.0632
Montcalm County,MI,CO,2nd Max,1.0,1.22
Montcalm County,MI,O3,4th Max,3.0,0.0688
Montcalm County,MI,PM10,2nd Max,1.0,63.0
Montcalm County,MI,PM2.5,98th Percentile,1.0,25.0
Montcalm County,MI,PM2.5,Weighted Annual Mean,1.0,8.76
Monterey County,CA,CO,2nd Max,1.0,1.02
Monterey County,CA,NO2,98th Percentile,1.0,24.4
Monterey County,CA,NO2,Annual Mean,1.0,3.4
Monterey County,CA,O3,4th Max,2.0,0.0516
Monterey County,CA,PM2.5,98th Percentile,1.0,19.6
Monterey County,CA,PM2.5,Weighted Annual Mean,1.0,5.72
Montgomery County,AL,O3,4th Max,2.0,0.058199999999999995
Montgomery County,MD,CO,2nd Max,1.0,1.16
Montgomery County,MD,NO2,98th Percentile,4.0,35.0
Montgomery County,MD,NO2,Annual Mean,5.0,8.0
Montgomery County,MD,O3,4th Max,13.0,0.0638
Montgomery County,MD,PM2.5,98th Percentile,5.0,19.2
Montgomery County,MD,PM2.5,Weighted Annual Mean,5.0,7.24
Montgomery County,PA,CO,2nd Max,1.0,0.96
Montgomery County,PA,NO2,98th Percentile,1.0,41.0
Montgomery County,PA,NO2,Annual Mean,2.0,9.0
Montgomery County,PA,O3,4th Max,12.0,0.0664
Montgomery County,PA,PM2.5,98th Percentile,9.0,20.4
Montgomery County,PA,PM2.5,Weighted Annual Mean,9.0,7.640000000000001
Montgomery County,PA,SO2,99th Percentile,2.0,5.8
Montgomery County,TN,O3,4th Max,2.0,0.060399999999999995
Montgomery County,TN,PM2.5,98th Percentile,1.0,21.8
Montgomery County,TN,PM2.5,Weighted Annual Mean,1.0,8.379999999999999
Montgomery County,TX,CO,2nd Max,1.0,1.16
Montgomery County,TX,NO2,98th Percentile,8.0,37.0
Montgomery County,TX,NO2,Annual Mean,10.0,7.2
Montgomery County,TX,O3,4th Max,15.0,0.07260000000000001
Montgomery County,TX,PM10,2nd Max,4.0,64.92
